x,y,z,speed,acceleration,curvature,curvature_change_rate,time,theta,gear,s,throttle,brake,steering
336883.399352, 3449219.80041, 14.9053293715, 0.5, -0.269667069734, 0.178808487293, 0.0, 1600653323.5612, 0.226787092304, 1, 148.914400047, 0.0, 0.0, 91.9270858765
336883.40254, 3449219.80108, 14.9054063987, 0.5, -0.260477382057, 0.178808487293, 0.0, 1600653323.5712, 0.228175021361, 1, 148.919400047, 0.0, 0.0, 91.9270858765
336883.405702, 3449219.80175, 14.9054905493, 0.469999998808, -0.23688804603, 0.178808487293, 0.0, 1600653323.5811, 0.229547986406, 1, 148.924100047, 0.0, 0.0, 91.9270858765
336883.408837, 3449219.80243, 14.9055895043, 0.469999998808, -0.239904248646, 0.178808487293, 0.0, 1600653323.5915, 0.23093359574, 1, 148.928800047, 0.0, 0.0, 91.9270858765
336883.411947, 3449219.80312, 14.9057033736, 0.469999998808, -0.243379101329, 0.178808487293, 0.0, 1600653323.6012, 0.232224870447, 1, 148.933500047, 0.0, 0.0, 91.9270858765
336883.415028, 3449219.80381, 14.9058283903, 0.469999998808, -0.271131051561, 0.178808487293, 0.0, 1600653323.6112, 0.233493965925, 1, 148.938200047, 0.0, 0.0, 91.9270858765
336883.41808, 3449219.80451, 14.9059613235, 0.460000008345, -0.270031795544, 0.178808487293, 0.0, 1600653323.6211, 0.234721522723, 1, 148.942800047, 0.0, 0.0, 91.9270858765
336883.422116, 3449219.80537, 14.9058573882, 0.460000008345, -0.283939509915, 0.178808487293, 0.0, 1600653323.6315, 0.23529056258, 1, 148.947400047, 0.0, 0.0, 91.9270858765
336883.425068, 3449219.80621, 14.9059228837, 0.460000008345, -0.301982861461, 0.178808487293, 0.0, 1600653323.6412, 0.236433368769, 1, 148.952000047, 0.0, 0.0, 91.9270858765
336883.427991, 3449219.80705, 14.90598814, 0.460000008345, -0.28709637324, 0.178808487293, 0.0, 1600653323.6513, 0.237561302829, 1, 148.956600048, 0.0, 0.0, 91.9270858765
336883.430885, 3449219.80789, 14.9060502316, 0.460000008345, -0.29810767846, 0.178808487293, 0.0, 1600653323.6611, 0.238705091522, 1, 148.961200048, 0.0, 0.0, 91.9270858765
336883.433748, 3449219.80873, 14.9061050625, 0.460000008345, -0.315776461563, 0.178808487293, 0.0, 1600653323.6712, 0.239808592659, 1, 148.965800048, 0.0, 0.0, 91.9270858765
336883.436582, 3449219.80956, 14.9061483206, 0.460000008345, -0.307002404314, 0.178808487293, 0.0, 1600653323.6812, 0.240922740264, 1, 148.970400048, 0.0, 0.0, 91.9270858765
336883.439388, 3449219.81037, 14.9061781568, 0.460000008345, -0.288597935177, 0.178808487293, 0.0, 1600653323.6912, 0.242070863427, 1, 148.975000048, 0.0, 0.0, 91.9270858765
336883.442167, 3449219.81118, 14.9061980826, 0.439999997616, -0.290931478995, 0.178808487293, 0.0, 1600653323.7012, 0.243207266972, 1, 148.979400048, 0.0, 0.0, 91.9270858765
336883.444918, 3449219.81197, 14.9062141265, 0.439999997616, -0.31273133928, 0.178808487293, 0.0, 1600653323.7112, 0.244362754386, 1, 148.983800048, 0.0, 0.0, 91.9270858765
336883.447639, 3449219.81275, 14.9062340206, 0.439999997616, -0.314934421194, 0.178808487293, 0.0, 1600653323.7213, 0.245528783756, 1, 148.988200048, 0.0, 0.0, 91.9270858765
336883.450329, 3449219.81353, 14.9062646789, 0.439999997616, -0.316466483229, 0.178808487293, 0.0, 1600653323.7313, 0.246699091686, 1, 148.992600048, 0.0, 0.0, 91.9270858765
336883.452989, 3449219.81429, 14.9063046395, 0.419999986887, -0.33061139434, 0.178808487293, 0.0, 1600653323.7412, 0.247853530256, 1, 148.996800048, 0.0, 0.0, 91.9270858765
336883.455616, 3449219.81505, 14.9063486308, 0.419999986887, -0.324719641751, 0.178808487293, 0.0, 1600653323.7512, 0.249036491356, 1, 149.001000048, 0.0, 0.0, 91.9270858765
336883.458212, 3449219.8158, 14.9063919888, 0.419999986887, -0.30266949157, 0.178808487293, 0.0, 1600653323.7612, 0.250193149197, 1, 149.005200047, 0.0, 0.0, 91.9270858765
336883.460776, 3449219.81655, 14.9064324124, 0.419999986887, -0.305315219105, 0.178808487293, 0.0, 1600653323.7712, 0.251332738187, 1, 149.009400047, 0.0, 0.0, 91.9270858765
336883.463311, 3449219.8173, 14.9064714493, 0.40000000596, -0.276014796727, 0.178808487293, 0.0, 1600653323.7814, 0.252434276056, 1, 149.013400047, 0.0, 0.0, 91.9270858765
336883.465817, 3449219.81806, 14.9065057861, 0.40000000596, -0.285225942592, 0.178808487293, 0.0, 1600653323.7912, 0.253525347556, 1, 149.017400047, 0.0, 0.0, 91.9270858765
336883.468294, 3449219.81882, 14.90653378, 0.40000000596, -0.252337039235, 0.178808487293, 0.0, 1600653323.8012, 0.254578243168, 1, 149.021400047, 0.0, 0.0, 91.9270858765
336883.470744, 3449219.81958, 14.9065593929, 0.40000000596, -0.239733344934, 0.178808487293, 0.0, 1600653323.8112, 0.255614162816, 1, 149.025400048, 0.0, 0.0, 91.9270858765
336883.473168, 3449219.82035, 14.9065832749, 0.379999995232, -0.259232936337, 0.178808487293, 0.0, 1600653323.8213, 0.256646966626, 1, 149.029200047, 0.0, 0.0, 91.9270858765
336883.475562, 3449219.82112, 14.9066080322, 0.379999995232, -0.280185664348, 0.178808487293, 0.0, 1600653323.8314, 0.257641501037, 1, 149.033000047, 0.0, 0.0, 91.9270858765
